,global,global,global,global,global,global,global,global,netw_cost,netw_size,netw_cost,netw_size,global,global,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,netw_cost,netw_size,netw_cost,netw_size,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,netw_cost,netw_size,netw_cost,netw_size,netw_cost,netw_size,tec_cost,tec_sizes
,global,global,global,global,global,global,global,global,electricityAC_existing,electricityAC_existing,electricityDC_existing,electricityDC_existing,global,global,PowerPlant_Gas_noh2_existing,PowerPlant_Gas_noh2_existing,PowerPlant_Nuclear_existing,PowerPlant_Nuclear_existing,Storage_PumpedHydro_Open_existing,Storage_PumpedHydro_Open_existing,Storage_PumpedHydro_Reservoir_existing,Storage_PumpedHydro_Reservoir_existing,PowerPlant_Coal_existing,PowerPlant_Coal_existing,PowerPlant_Oil_existing,PowerPlant_Oil_existing,Storage_PumpedHydro_Closed_existing,Storage_PumpedHydro_Closed_existing,global,global,electricity,electricity,electricity,gas,gas,gas,gas,electricity,electricity,electricity,electricity,hydrogen,hydrogen,hydrogen,hydrogen,final,final,final,final,final,final,final,final,final,final,Storage_Battery_new,Storage_Battery_new,Storage_Battery_Offshore,Storage_Battery_Offshore,Storage_Battery_new_HP,Storage_Battery_new_HP,Storage_Battery_Offshore_HP,Storage_Battery_Offshore_HP,electricityAC,electricityAC,electricityDC,electricityDC,FuelCell,FuelCell,Electrolyser_PEM,Electrolyser_PEM,Storage_Hydrogen,Storage_Hydrogen,PowerPlant_Gas_existing,PowerPlant_Gas_existing,hydrogenPipelineOnshore_re,hydrogenPipelineOnshore_re,hydrogenPipelineOffshore,hydrogenPipelineOffshore,hydrogenPipelineOnshore_new,hydrogenPipelineOnshore_new,Electrolyser_PEM_offshore,Electrolyser_PEM_offshore
,Case,Subcase,objective,cy,Path,total_costs,emissions_net,carbon_costs,total_cost,size,total_cost,size,netw_cost_existing,netw_cost_new,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,tec_cost_existing,tec_cost_new,generic_production,demand,curtailment,import_cost,export_cost,import,export,import_cost,export_cost,import,export,import_cost,export_cost,import,export,hydrogen_costs_smr,cost_existing_system,cost_new_system,cost_total,emissions_total,emissions_smr,emissions_other,emission_reduction,cost_reduction,abatement_cost,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size
14,All,All,min costs,1995,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2030\cost\20250606151229_All_costs_cy1995-1,21379748035.44122,61527729.87906226,4922218390.324917,83303562.0875737,182720.8,50227818.36386615,63280,133531380.4514399,873298166.3616679,,,1484580154.041957,11891,0,89994178,0,258578,82827890.08789587,17042,2941795.762001787,851,0,662010,2397884622.371103,0.0,918967133.5206391,1346148750.623286,28300242.59941673,12920137119.11394,0,323003427.9778485,0,132678356.8184632,0,132678.3568184632,0,0,0.0,0,0.0,13300000000.0,20506449869.07986,873298166.3616679,34679748035.44154,91006126.99906226,29478397.12,61527729.87906225,17969686.9741172,4366838090.861382,243.0113607988831,0.0,0.0,0.0,0.0,,,,,0.0,0.0,873298166.3616679,30823.92788468197,0.0,0.0,0.0,0.0,0.0,0.0,827534782.4792479,89482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,All,All,min costs,2008,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2030\cost\20250606204718_All_costs_cy2008-1,9376073665.276237,20808043.91810918,1991872370.928418,83303562.0875737,182720.8,50227818.36386615,63280,133531380.4514399,1154379566.100624,,,1271724423.745958,11891,0,89994178,0,258578,35043048.01039881,17042,992833.2983454408,851,0,662010,1645037420.899804,1021920020.339926,1119044693.092472,1341585575.936891,47689309.19683743,5226037403.164357,0,130650935.0791089,0,45472775.12904609,0,45472.77512904609,0,0,1842177271.737477,0,37873710.35644484,11457822728.26252,9041951350.573065,2176299586.44055,22676073665.27614,50286441.03810918,25388036.40150396,24898404.63660523,29458172.40019149,6909383480.486042,234.5489557193162,0.0,0.0,0.0,0.0,,,,,30816876.53200011,2800.383723567013,1084314083.742251,36249.15521300453,0.0,0.0,1014170512.979755,13617.84960299621,7749507.3601705,38744.72505810513,337277115.8451011,89482.0,18481083.23961066,3837.888571973541,0.0,0.0,20767522.58676236,32.0,0.0,0.0
163,All,All,min costs,2009,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2030\cost\20250606151941_All_costs_cy2009-1,13116217258.02416,33495847.13591879,2766504628.939483,83303562.0875737,182720.8,50227818.36386615,63280,133531380.4514399,1170139010.203766,,,1295045148.94403,11891,0,89994178,0,258578,24165607.2008329,17042,332466.978,851,0,662010,1789478585.167617,390101738.2798471,1055303633.190879,1345551336.263941,51573704.29205954,7329554159.015535,0,183238853.9753884,0,25767105.07856594,0,25767.10507856594,0,0,488859349.1120128,0,10050562.27615158,12811140650.88799,12044835858.65264,1560240748.483613,26416217258.02424,62974244.25591879,28392936.39417563,34581307.86174315,25217125.63211727,5871583356.493351,232.8410999730897,0.0,0.0,0.0,0.0,,,,,26793327.30087854,2383.815022150982,1143345682.902888,37839.14630548958,0.0,0.0,389342056.4657436,5227.919271182353,759681.8141034725,3798.133436243873,469935362.044755,89482.0,0.0,0.0,1.474252448093029e-07,0.0,0.0,0.0,0.0,0.0
0,Baseline,Baseline,min costs,1995,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2030\cost\20250515175436_Baseline_costs_cy1995-1,25746586126.30292,79497416.85317945,6359793348.253594,83303562.0875737,182720.8,50227818.36386615,63280,133531380.4514399,0.0,1030674488.29323,89482.0,1126508784.659904,11891,0,89994178,0,258578,301916151.7271783,17042,10093598.34584303,851,0,662010,2469193023.026155,0.0,887916920.945187,1346148750.623286,59350455.17486882,16091717225.49929,0,402292930.6374823,0,692351149.0708697,0,692351.1490708697,0,0,0.0,0,0.0,13300000000.0,25746586126.30135,0.0,39046586126.30135,108975813.9731795,29478397.12,79497416.85317945,0.0,0.0015716552734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Baseline,Baseline,min costs,2008,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2030\cost\20250515175546_Baseline_costs_cy2008-1,16285457145.76218,50266216.31830067,4021297305.463517,83303562.0875737,182720.8,50227818.36386615,63280,133531380.4514399,0.0,657820704.607027,89482.0,680631630.2619919,11891,0,89994178,0,258578,159628644.9808378,17042,5952354.886307166,851,0,662010,1504033334.736164,0.0,1015812697.619964,1341585575.936891,150921304.669346,10270424740.15654,0,256760618.5039135,0,356170384.9547169,0,356170.3849547168,0,0,0.0,0,0.0,13300000000.0,16285457145.76237,0.0,29585457145.76237,79744613.43830067,29478397.12,50266216.31830066,0.0,-0.000194549560546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Baseline,Baseline,min costs,2009,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2030\cost\20250515184017_Baseline_costs_cy2009-1,18987800614.51759,58712972.76803605,4697037821.44244,83303562.0875737,182720.8,50227818.36386615,63280,133531380.4514399,0.0,776971042.0338721,89482.0,868739760.1995952,11891,0,89994178,0,258578,148017432.5382973,17042,4574431.917352363,851,0,662010,1798302666.689117,0.0,986100098.2861369,1345551336.263941,120777239.1968014,12130695425.97781,0,303267385.6494453,0,228233319.9570275,0,228233.3199570275,0,0,0.0,0,0.0,13300000000.0,18987800614.51784,0.0,32287800614.51784,88191369.88803606,29478397.12,58712972.76803605,0.0,-0.000247955322265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Grid Expansion,all,min costs,1995,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2030\cost\20250515234205_ElectricityGrid_all_costs_cy1995-1,21379748035.44078,61527729.87906416,4922218390.324508,83303562.0875737,182720.8,50227818.36386615,63280,133531380.4514399,873298166.3616679,827534782.4792482,89482.0,1484580154.041958,11891,0,89994178,0,258578,82827890.08789587,17042,2941795.762001787,851,0,662010,2397884622.371103,0.0,918948665.2257183,1346148750.623286,28318710.89433753,12920137119.11394,0,323003427.9778486,0,132678356.8184632,0,132678.3568184632,0,0,0.0,0,0.0,13300000000.0,20506449869.07946,873298166.3616679,34679748035.44112,91006126.99906416,29478397.12,61527729.87906416,17969686.9741153,4366838090.861794,243.0113607988831,,,,,,,,,0.0,0.0,873298166.3616679,30823.92788468197,,,,,,,,,,,,,,,,
72,Grid Expansion,all,min costs,2008,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2030\cost\20250516035347_ElectricityGrid_all_costs_cy2008-1,9840192926.77901,24798452.90108056,1983876232.086428,83303562.0875737,182720.8,50227818.36386615,63280,133531380.4514399,1206729518.804508,333414886.4308081,89482.0,895977750.1637347,11891,0,89994178,0,258578,34706423.50783122,17042,992094.0276226792,851,0,662010,1265091154.129997,0.0,1084477642.360701,1341585575.936891,82256359.92860842,5205540771.75339,0,130138519.2938348,0,45423869.55339008,0,45423.86955339008,0,0,0.0,0,0.0,13300000000.0,8633463407.974646,1206729518.804508,23140192926.77916,54276850.02108056,29478397.12,24798452.90108056,25467763.41722011,6445264218.983025,253.0753964924206,,,,,,,,,61936561.48945369,4477.752772368865,1144792957.315054,38382.02006175455,,,,,,,,,,,,,,,,
