,global,global,global,global,global,global,global,global,global,global,netw_cost,netw_size,netw_cost,netw_size,netw_cost,netw_size,global,global,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,global,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,tec_cost,tec_sizes,netw_cost,netw_size,tec_cost,tec_sizes,tec_cost,tec_sizes,netw_cost,netw_size,netw_cost,netw_size,netw_cost,netw_size,tec_cost,tec_sizes
,global,global,global,global,global,global,global,global,global,global,electricityAC_existing,electricityAC_existing,electricityDC,electricityDC,electricityDC_existing,electricityDC_existing,global,global,PowerPlant_Oil_existing,PowerPlant_Oil_existing,Storage_PumpedHydro_Closed_existing,Storage_PumpedHydro_Closed_existing,Offshore_Wind,Offshore_Wind,Storage_PumpedHydro_Open_existing,Storage_PumpedHydro_Open_existing,PV,PV,PowerPlant_Nuclear_existing,PowerPlant_Nuclear_existing,PowerPlant_Gas_noh2_existing,PowerPlant_Gas_noh2_existing,Storage_PumpedHydro_Reservoir_existing,Storage_PumpedHydro_Reservoir_existing,Onshore_Wind,Onshore_Wind,PowerPlant_Coal_existing,PowerPlant_Coal_existing,global,global,electricity,electricity,electricity,electricity,electricity,electricity,gas,gas,gas,gas,hydrogen,hydrogen,hydrogen,hydrogen,final,final,final,final,final,final,final,final,final,final,Electrolyser_PEM,Electrolyser_PEM,PowerPlant_Gas_existing,PowerPlant_Gas_existing,Storage_Hydrogen,Storage_Hydrogen,FuelCell,FuelCell,electricityAC,electricityAC,Storage_Battery_new,Storage_Battery_new,Storage_Battery_Offshore,Storage_Battery_Offshore,hydrogenPipelineOffshore,hydrogenPipelineOffshore,hydrogenPipelineOnshore_re,hydrogenPipelineOnshore_re,hydrogenPipelineOnshore_new,hydrogenPipelineOnshore_new,Electrolyser_PEM_offshore,Electrolyser_PEM_offshore
,Case,Subcase,objective,cy,Path,total_costs,emissions_net,carbon_costs,carbon_tax,variable_h2_demand,total_cost,size,total_cost,size,total_cost,size,netw_cost_existing,netw_cost_new,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,tec_cost_existing,tec_cost_new,generic_production,demand,import_cost,export_cost,import,export,import_cost,export_cost,import,export,import_cost,export_cost,import,export,hydrogen_costs_smr,cost_existing_system,cost_new_system,cost_total,emissions_total,emissions_smr,emissions_other,emission_reduction,cost_reduction,abatement_cost,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size,total_cost,size
39,All,All,min costs,1995,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2040\20250630132532_All_costs_cy1995_co2_tax100-1,31553294364.19456,31100693.926731,3249795515.263771,100,0,83303562.0875737,182720.8,3078689228.264485,108942.324717908,50227818.36386615,63280,133531380.4514399,3210813071.51827,1441491.818131036,851,0,662010,8640609851.795057,39132.52496913608,0,89994178,0,0,1302187071.487848,11891,,,0,258578,7748112743.538726,61008.32194359337,41150638.62140041,17042,1783327084.467756,16920734635.91981,941479047.9434669,1595095522.31598,83558248.81026635,0,83558.24881026635,0,6828764708.097364,0,170719117.7024341,0,0,657230280.3339031,0,12937603.94358077,36170714944.18423,12078976937.0906,20131547707.43808,68381239588.71291,112896807.226731,80398852.07409327,32497955.15263774,-43433475.54688968,-28167671519.16632,648.5244588528903,530220080.0244134,7134.005073568193,438547882.5403765,89482.0,1791960.561610537,8977.672778871603,0.0,0.0,111148521.1069861,5835.236201859817,0.0,0.0,4.832831257744584e-08,0.0,0.0,0.0,20975322.14679978,240.9699186526137,0.0,0.0,0.0,0.0
40,All,All,min costs,2008,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2040\20250701233648_All_costs_cy2008_co2_tax100-1,23138407694.93419,38229138.97638137,3822913897.638195,100,0,83303562.0875737,182720.8,1802167525.321295,55930.62064574879,50227818.36386615,63280,133531380.4514399,1838120063.547735,3627519.475304889,851,0,662010,0.0,0.0,0,89994178,0,0,1174369252.401372,11891,,,0,258578,7454419318.960738,58877.88834797425,83116181.62728377,17042,1768649298.723435,7454419318.960738,1141549860.06686,1590683089.249759,196709017.119985,0,196709.017119985,0,7924064718.492954,0,198101617.9623238,0,0,0.0,0,0.0,36800000000.0,13845868312.42601,9292539382.508472,59938407694.93448,120025252.2763814,81796113.3,38229138.97638138,-49770760.50658225,-27861729338.74436,559.801151905232,0.0,0.0,507536345.2194736,89482.0,0.0,0.0,0.0,0.0,35952538.22644012,3607.914187493329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,All,All,min costs,2009,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2040\20250702054904_All_costs_cy2009_co2_tax100-1,26400526773.25101,37894934.97276276,3789493497.276324,100,0,83303562.0875737,182720.8,2096824537.824055,65586.14855469964,50227818.36386615,63280,133531380.4514399,2134449198.210694,1543970.169103862,851,0,662010,12134990.02366406,55.74210756379012,0,89994178,0,0,1199626663.040699,11891,,,0,258578,10527488725.75141,83513.45194330689,44591841.54450192,17042,1756651723.954233,10539623715.77507,1086835729.757738,1594466467.182379,70364311.44880128,0,70364.31144880128,0,7976412946.13471,0,199410323.6533678,0,0,0.0,0,0.0,36800000000.0,13726453859.26551,12674072913.98577,63200526773.25127,119691048.2727628,81796113.3,37894934.97276276,-43506544.59150432,-28074264369.44631,645.288297864149,0.0,0.0,510889249.1999282,89482.0,0.0,0.0,0.0,0.0,37624660.38663834,3059.504318462797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Baseline,Baseline,min costs,1995,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2040\20250526092654_RE_only_costs_cy1995_co2_tax100-1,40213568069.54659,69463331.67984132,6946333167.983396,100,0,83303562.0875737,182720.8,1429888810.890501,59382.82457406828,50227818.36386615,63280,133531380.4514399,1429888810.890501,14807150.8623835,851,0,662010,13014073172.06812,59382.82457406827,0,89994178,0,0,1203231220.352236,11891,882705132.240761,89482.0,0,258578,829516507.6338528,6609.594344798312,298069048.6812307,17042,2398812552.136611,13843589679.70197,924705105.357752,1595095522.31598,1679911584.695646,0,1679911.584695646,0,13781500893.6887,0,344537522.3422174,0,0,0.0,0,0.0,36800000000.0,24940089578.95579,15273478490.59248,77013568069.54826,151259444.9798413,81796113.3,69463331.67984132,-81796113.3,-36800000000.00167,449.8991290698618,,,,,,,,,,,,,,,,,,,,,,
1,Baseline,Baseline,min costs,2008,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2040\20250526110111_RE_only_costs_cy2008_co2_tax100-1,32076678356.19012,70254491.76979913,7025449176.978948,100,0,83303562.0875737,182720.8,534908731.5406406,18653.26215092163,50227818.36386615,63280,133531380.4514399,534908731.5406406,19625539.30603988,851,0,662010,4012691747.846953,18653.26215092163,0,89994178,0,0,968962213.0009004,11891,865987336.9966519,89482.0,0,258578,1530936615.922421,12214.97639714144,368528708.0758591,17042,2223103797.379451,5543628363.769375,1108974369.421786,1590683089.249759,3095567647.732916,0,3095567.647732916,0,13520489258.33961,0,338012231.4584902,0,0,0.0,0,0.0,36800000000.0,25998141260.88236,6078537095.310016,68876678356.19237,152050605.0697991,81796113.3,70254491.76979913,-81796113.3,-36800000000.00224,449.8991290698618,,,,,,,,,,,,,,,,,,,,,,
2,Baseline,Baseline,min costs,2009,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2040\20250526120808_RE_only_costs_cy2009_co2_tax100-1,35126262403.80496,76184503.68125844,7618450368.12492,100,0,83303562.0875737,182720.8,537730664.4496115,19259.68938202109,50227818.36386615,63280,133531380.4514399,537730664.4496115,15819408.77421414,851,0,662010,4139778086.094218,19259.68938202109,0,89994178,0,0,1121379610.979922,11891,964583056.1441185,89482.0,0,258578,3208488701.563257,25563.89094142771,338720714.0184915,17042,2440502789.916746,7348266787.657475,1059497854.23525,1594466467.182379,1987935664.663719,0,1987935.664663719,0,15059844748.54205,0,376496118.7135513,0,0,0.0,0,0.0,36800000000.0,27240264951.69888,7885997452.107087,71926262403.80597,157980616.9812585,81796113.3,76184503.68125845,-81796113.30000001,-36800000000.00101,449.8991290698618,,,,,,,,,,,,,,,,,,,,,,
9,Grid Expansion,all,min costs,1995,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2040\20250603150649_ElectricityGrid_all_costs_cy1995_co2_tax100-1,31570936618.03217,32792946.53832044,3279294653.83182,100,0,83303562.0875737,182720.8,3087352071.61167,109316.4796477466,50227818.36386615,63280,133531380.4514399,3189951490.433405,1322363.492136046,851,0,662010,8354902760.934504,37881.42370125346,0,89994178,0,0,1240829636.972645,11891,441387797.2500253,89482.0,0,258578,7918795074.018483,62565.94505345436,41792866.35461914,17042,1725332664.069425,16273697834.95299,939012520.7247567,1595095522.31598,77828090.78039458,0,77828.09078039459,0,6891300503.513275,0,172282512.5878319,0,0,0.0,0,0.0,36800000000.0,12107287292.64635,19463649325.38639,68370936618.03275,114589059.8383204,81796113.3,32792946.53832044,-45125728.15847911,-28157368548.48615,623.9759400225078,,,,,,,,,102599418.8217349,5386.413035780239,,,,,,,,,,,,
13,Grid Expansion,all,min costs,2008,\\Soliscom.uu.nl\geo\USERS\StaffUsers\6574114\EhubResults\MES NorthSea\20250515\2040\20250603202922_ElectricityGrid_all_costs_cy2008_co2_tax100-1,23073495019.15845,38170082.597362,3817008259.735755,100,0,83303562.0875737,182720.8,1806425829.188901,56029.34296547319,50227818.36386615,63280,133531380.4514399,1842867640.396129,3583076.919665216,851,0,662010,0.0,0.0,0,89994178,0,0,1174018136.935673,11891,506824567.0344526,89482.0,0,258578,7406408802.463008,59010.47334000786,82757396.33358653,17042,1767183177.223377,7406408802.463008,1141561995.867239,1590683089.249759,193543892.6208803,0,193543.8926208803,0,7912951866.2678,0,197823796.656695,0,0,0.0,0,0.0,36800000000.0,13824218576.29925,9249276442.859137,59873495019.15839,119966195.897362,81796113.3,38170082.597362,-49711704.12756287,-27796816662.96827,559.160407436446,,,,,,,,,36441811.20722716,3640.536873811789,,,,,,,,,,,,
